Doc Number,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Chamber,Caption,First Reader Summary,Summary,Current Version,All Versions,Senate Sponsor,House Sponsor,Senate Co-Sponsors,House Co-Sponsors,Legis Link,Stance,Urgency,Issues,Introduced Date,Senate Committee,House Committee,Notes,Watching,Votes,Status History,Footnotes,Take Action,Call to Action,Contact Committee,Current Chamber Senate,Constituent Contact
House Bil 671 (HB 671),hb-671,67861e3f8ed4c6db17936679,67843d70a45f9d8484be0987,67c486ff098b9f9541838d6c,false,false,Sun Mar 02 2025 16:27:43 GMT+0000 (Coordinated Universal Time),Sun Mar 02 2025 16:29:19 GMT+0000 (Coordinated Universal Time),Sun Mar 02 2025 16:29:19 GMT+0000 (Coordinated Universal Time),House,Torts; right of action against any person who knowingly or negligently engages in sexually explicit conduct in the presence of a minor; provide,"<p>A BILL to be entitled an Act to amend Chapter 1 of Title 51 of the O.C.G.A., relating to general provisions as pertaining to torts, so as to provide for a right of action against any person who knowingly or negligently engages in restricted sexual conduct in the presence of a minor or who knowingly or negligently allows, permits, encourages, or requires a minor to be present while another engages in sexually explicit conduct in the presence of such minor; to provide for the Department of Revenue to fine or suspend or revoke certain business licenses where such establishment admits a minor to be present while another engages in sexually explicit conduct or restricted sexual conduct; to provide for related matters; to repeal conflicting laws; and for other purposes.</p>",,lc-62-0135,lc-62-0135,,rice-carmen,,fleming; mcdonald; kelley; smith-tyler-paul; barrett-carter,https://www.legis.ga.gov/legislation/70972,Oppose,High,,Thu Feb 27 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,judiciary,,false,,,,false,,false,false,false
House Bill 104 (HB 104),hb-104,67861e3f8ed4c6db17936679,67843d70a45f9d8484be0987,678d333785f9c19a4a3c09ac,false,false,Sun Jan 19 2025 17:15:35 GMT+0000 (Coordinated Universal Time),Sat Feb 08 2025 05:08:22 GMT+0000 (Coordinated Universal Time),Sat Feb 08 2025 05:08:22 GMT+0000 (Coordinated Universal Time),House,Equal Athletic Opportunities Act; enact,"<p>A BILL to be entitled an Act to amend Article 6 of Chapter 2 of Title 20 of the Official Code of Georgia Annotated, the ""Quality Basic Education Act,"" so as to enact the ""Equal Athletic Opportunities Act""; to provide generally for student participation in interscholastic athletic activities and events; to generally prohibit discrimination on the basis of sex in such activities and events; to promote fair and safe competition; to provide for the use of student eligibility rules, standards, and classifications; to provide for exceptions to general provisions; to provide for specific designations; to prohibit male students from participating in athletic activities and events designated for female students and vice versa; to provide for definitions; to provide for related matters; to repeal conflicting laws; and for other purposes.</p>","<p>HB 104 would remove the authority of the GHSA (Georgia High School Association) to make a determination about whether transgender athletes can compete with their cisgender peers, and outright bans that participation in state code.</p>",hb-104-initial-version,lc-49-2008,,cox-brent,,jasperse-rick; barrett-carter; cannon-chas; erwin-chris; horner-mitchell,https://www.legis.ga.gov/legislation/69456,Oppose,Low,Sports Ban,Fri Jan 17 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,education,"<p>HB&nbsp;104 was assigned to the House Education Committee and is waiting for a committee hearing. It is unlikely to receive a hearing because the Speaker of the House, Jon Burns, backed a different house bill (HB 267) that would also ban transgender athletes from participating in athletics with their cisgender peers.</p>",false,,hb104-hopper; hb104-house-read; hb104-house-second,,false,,false,false,false
House Bill 133 (HB 133),hb-133,67861e3f8ed4c6db17936679,67843d70a45f9d8484be0987,67aac6d14a058099b1821ff1,false,false,Tue Feb 11 2025 03:41:05 GMT+0000 (Coordinated Universal Time),Tue Feb 11 2025 03:43:46 GMT+0000 (Coordinated Universal Time),Tue Feb 11 2025 03:43:46 GMT+0000 (Coordinated Universal Time),House,Student Character Development Act; enact,"<p>A BILL to be entitled an Act to amend Subpart 2 of Part 1 of Article 16 of Chapter 2 of Title 20 of the Official Code of Georgia Annotated, relating to compulsory attendance, so as to provide for public school students to be permitted to attend courses in religious moral instruction provided by a person or organization independently of a public school, subject to certain conditions; to provide for such conditions; to provide for students to receive academic credit for such courses; to require local education agencies to adopt certain policies; to prohibit students who participate in such courses from being counted as absent from school; to provide for responsibilities of the Department of Education; to provide for definitions; to provide for a short title; to provide for related matters; to provide for an effective date; to repeal conflicting laws; and for other purposes.</p>",,lc-49-2137,lc-49-2137,,,,,https://www.legis.ga.gov/legislation/69532,Oppose,Low,,Mon Jan 27 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,education,,true,,hb133-hopper; hb133-house-first-read; hb133-house-second-read,,false,,false,false,false
House Bill 145 (HB 145),hb-145,67861e3f8ed4c6db17936679,67843d70a45f9d8484be0987,67aacd00501b4a3cc964d0c9,false,false,Tue Feb 11 2025 04:07:28 GMT+0000 (Coordinated Universal Time),Tue Feb 11 2025 04:08:57 GMT+0000 (Coordinated Universal Time),Tue Feb 11 2025 04:08:57 GMT+0000 (Coordinated Universal Time),House,State symbols; change state floral emblem to sweetbay magnolia,"<p>A BILL to be entitled an Act to amend Article 3 of Chapter 3 of Title 50 of the Official Code of Georgia Annotated, relating to other state symbols, so as to change the state floral emblem to the sweetbay magnolia; to provide for related matters; to repeal conflicting laws; and for other purposes.</p>",<p>HB&nbsp;145 would change the state flower from the non-native and invasive Cherokee Rose to the native flower of the Sweetbay Magnolia.</p>,lc-46-0944,lc-46-0944,,silcox,,hilton-scott,https://www.legis.ga.gov/legislation/69567,Support,Low,,Tue Jan 28 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,special-rules,,true,,hb145-hopper; hb145-house-first-read; hb145-house-second-read,,false,,false,false,false
House Bill 178 (HB 178),hb-178,67861e3f8ed4c6db17936679,67843d70a45f9d8484be0987,67a9e1e11a5be18bbd3673d3,false,false,Mon Feb 10 2025 11:24:17 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 11:24:17 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 11:24:17 GMT+0000 (Coordinated Universal Time),House,Social services; treatment services under Medicaid to persons with HIV; provisions,"<p id="""">A BILL to be entitled an Act to amend Article 7 of Chapter 4 of Title 49 of the Official Code of Georgia Annotated, relating to medical assistance generally, so as to require the Department of Community Health to submit a Section 1115 waiver request to the federal Centers for Medicare and Medicaid Services for a demonstration project to provide treatment services under Medicaid to persons in this state living with HIV; to provide for implementation upon approval; to provide for related matters; to repeal conflicting laws; and for other purposes.</p>",<p>HB 178 would offer Medicaid coverage to low income Georgians living with HIV.</p>,lc-57-0191,lc-57-0191,,cooper-sharon,,hawkins; stephens; drenner,https://www.legis.ga.gov/legislation/69657,Support,Medium,,Wed Jan 29 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,public-and-community-health,,false,,hb178-hopper; hb178-house-first-reader; hb178-house-second-read,,false,,false,false,false
House Bill 221 (HB 221),hb-221,67861e3f8ed4c6db17936679,67843d70a45f9d8484be0987,67aac5e649466b713a1bc063,false,false,Tue Feb 11 2025 03:37:10 GMT+0000 (Coordinated Universal Time),Tue Feb 11 2025 03:38:44 GMT+0000 (Coordinated Universal Time),Tue Feb 11 2025 03:38:44 GMT+0000 (Coordinated Universal Time),House,Education; equal athletic opportunities for public school students; provide,"<p>A BILL to be entitled an Act to amend Title 20 of the Official Code of Georgia Annotated, relating to education, so as to provide for equal athletic opportunities for public school students; to provide for a cause of action; to provide for statutory construction; to provide for related matters; to repeal conflicting laws; and for other purposes.</p>","<p id="""">HB 221 is the House version of SB 41, introduced by Senator Kim Jackson. It was written to address the true inequity in girls athletics. It would require Georgia public schools to provide equal access to facilities, supplies, travel allowances, and coaching stipends to girls athletic programs in elementary, middle, and high school. HB&nbsp;221 would also rescind the ability of the Georgia High School Association to determine whether transgender athletes can compete in school sports and in doing so, would reverse the current ban on high school sports participation.</p>",lc-49-2175,lc-49-2175,,cannon,,,https://www.legis.ga.gov/legislation/69774,Support,Medium,,Mon Feb 03 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,education,<p>HB&nbsp;221 is waiting for a hearing in the House Education Committee.</p>,false,,hb221-hopper; hb221-house-first-read; hb221-house-second-read,,false,,false,false,false
House Bill 267 (HB 267),hb-267,67861e3f8ed4c6db17936679,67843d70a45f9d8484be0987,67a9e7c42ef9670ff26fc7fc,false,false,Mon Feb 10 2025 11:49:24 GMT+0000 (Coordinated Universal Time),Sun Mar 02 2025 14:55:23 GMT+0000 (Coordinated Universal Time),Sun Mar 02 2025 14:55:23 GMT+0000 (Coordinated Universal Time),House,Riley Gaines Act; enact,"<p id="""">A BILL to be entitled an Act to amend various titles of the Official Code of Georgia Annotated so as to provide for separate restroom and changing areas for males and females in schools; to provide for sleeping arrangements on school trips to be made according to sex; to provide for definitions throughout the Official Code of Georgia Annotated of certain terms relating to sex; to provide for legislative findings on the importance of certain distinctions between the sexes; to require any collector of vital statistics throughout this state to identify each individual as either male or female; to replace the term ""gender"" throughout the Code with ""sex""; to provide for definitions; to provide for conforming changes; to provide for a short title; to provide for related matters; to repeal conflicting laws; and for other purposes.</p>","<p id="""">HB&nbsp;267 is an extensive piece of legislation that would bar transgender athletes from competing with their cisgender peers, prevent transgender students in public schools from using the restroom that aligns with their gender identity, and replace all references to ""gender"" throughout the code with ""sex"".</p>",lc-49-2270s,lc-49-2204; lc-49-2270s,,bonner-josh,,,https://www.legis.ga.gov/legislation/69927,Oppose,High,,Tue Feb 04 2025 00:00:00 GMT+0000 (Coordinated Universal Time),judiciary,,"<p id="""">HB 267 was introduced by House Speaker Jon Burns and championed by the speaker in a press conference alongside notable anti-trans activists. It passed out of the House Education Committee on Friday, February 21 and was voted through the House Floor on Thursday, February 27th. We expect this bill to come to a committee in the Senate sometime after crossover day, March 6th.</p>",false,,hb267-hopper; hb267-house-first-read; sb267-house-second-read,,false,,false,false,false
House Bill 660 (HB 660),hb-660,67861e3f8ed4c6db17936679,67843d70a45f9d8484be0987,67c477a70ed1a101e2f202a1,false,false,Sun Mar 02 2025 15:22:15 GMT+0000 (Coordinated Universal Time),Sun Mar 02 2025 16:13:54 GMT+0000 (Coordinated Universal Time),Sun Mar 02 2025 16:13:54 GMT+0000 (Coordinated Universal Time),House,State government; prohibit coverage of expenses for any transition related intervention under state health benefit plan or with any state funds,"<p>A BILL to be entitled an Act to amend Chapter 18 of Title 45, Chapter 4 of Title 49, and Chapter 1 of Title 50 of the Official Code of Georgia Annotated, relating to the employees' insurance and benefits plans, public assistance, and general provisions relative to state government, respectively, so as to prohibit coverage of expenses for any transition related intervention under the state health benefit plan or with any state funds; to provide for related matters; to provide for legislative findings; to provide for an effective date; to repeal conflicting laws; and for other purposes.</p>","<p id="""">House Bill 660 would would prohibit The Georgia State Employees Health Benefits Plan (SHBP) from covering any gender-affirming care for minors or adults. This includes insurance plans for all state employees (public school teachers, state law enforcement, state healthcare workers, and more).</p><p id="""">HB&nbsp;660 would also deny medically necessary healthcare for transgender people held in Georgia’s prisons. All inmates are entitled to medically necessary care, whether it be for diabetes, cancer, or gender dysphoria, and it is a violation of the 8th Amendment of the U.S. Constitution to deny them that care. </p><p id="""">The intent of this bill mirrors that of Senate Bill 39 &amp;&nbsp;Senate Bill 185.</p>",as-introduced-lc-52-0778,as-introduced-lc-52-0778,,cox-brent,,jasperse-rick; rice-carmen; scoggins; mcdonald,https://www.legis.ga.gov/legislation/70939,Oppose,Medium,,Thu Feb 27 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,insurance,,false,,,,false,,false,false,false
Senate Bill  248 (SB 248),sb-248,67861e3f8ed4c6db17936679,67843d70a45f9d8484be0987,67c47667f3b717dced5443be,false,false,Sun Mar 02 2025 15:16:55 GMT+0000 (Coordinated Universal Time),Sun Mar 02 2025 15:17:59 GMT+0000 (Coordinated Universal Time),Sun Mar 02 2025 15:17:59 GMT+0000 (Coordinated Universal Time),Senate,Georgia Council on Library Materials Standards; establish and provide,"<p>A BILL to be entitled an Act to amend Title 20 of the Official Code of Georgia Annotated, relating to education, so as to establish and provide for the Georgia Council on Library Materials Standards; to provide for definitions, including definitions for the terms ""harmful to minors,"" ""restricted materials,"" and ""sexually explicit materials""; to require the Georgia Council on Library Materials Standards to establish standards for the designation of restricted materials by local boards of education, standards for the use and restriction of instructional materials, and standards for the use and restriction of public school library collection materials; to provide for definitions; to provide for short titles; to provide for related matters; to provide for an effective date; to repeal conflicting laws; and for other purposes.</p>",,lc-49-2229,lc-49-2229,dixon-clint,,anavitarte-jason; harbin-marty; payne-chuck; hickman-billy,,https://www.legis.ga.gov/legislation/70774,Oppose,Medium,,Mon Feb 24 2025 00:00:00 GMT+0000 (Coordinated Universal Time),education-youth,,,false,,sb-248-senate-hopper; sb-248-senate-read,,false,,false,false,false
Senate Bill 1 (SB 1),sb-1,67861e3f8ed4c6db17936679,67843d70a45f9d8484be0987,67862e2ee9b337a72180ced4,false,false,Tue Jan 14 2025 09:28:14 GMT+0000 (Coordinated Universal Time),Mon Feb 24 2025 03:49:09 GMT+0000 (Coordinated Universal Time),Mon Feb 24 2025 03:49:09 GMT+0000 (Coordinated Universal Time),Senate,'Fair and Safe Athletic Opportunities Act'; enact,"<p>A BILL to be entitled an Act to amend Title 20 of the O.C.G.A., relating to education, so as to provide generally for competitively fair and safe student participation in middle school, high school, and college sports; to promote fair and safe competition; to provide for equal athletic opportunities and safety; to provide for specific designations of teams operated or sponsored by local school systems, public schools, participating private schools, and postsecondary educational institutions in this state; to prohibit males from participating in interscholastic and intercollegiate competitions on teams designated as female; to prohibit females from participating in competition on intercollegiate teams designated as male, subject to exceptions; to provide for related matters; to repeal conflicting laws; and for other purposes.</p>","<p id="""">Seeks to ban transgender elementary school, middle school, high school, and college athletes from competing against their cisgender peers. It also would add prohibitions on multi-occupancy bathrooms, locker rooms, and sleeping arrangements in conjunction with athletic activities.</p>",committee-sub-lc-49-2184s,lc-49-2089; am-49-0217; am-49-0216; committee-sub-lc-49-2184s,dolezal-greg,,kennedy-john-f; gooch-steve; beach-brandon; robertson-randy; albers-john; walker-iii-larry; watson-ben; kirkpatrick-kay; ginn-frank; cowsert-bill; goodman-russ; tillery-blake; echols-drew; watson-sam; burns-max; bearden-timothy; strickland-brian; anderson-lee; dixon-clint; still-shawn; hatchett-bo; harbin-marty; anavitarte-jason; hufstetler-chuck,,https://www.legis.ga.gov/legislation/69274,Oppose,High,Sports Ban,Mon Jan 13 2025 00:00:00 GMT+0000 (Coordinated Universal Time),education-youth,,"<p id="""">SB 1 passed the Senate on Thursday, February 6, 2025. It now heads to the House where we wait to see if it will receive a committee hearing. The Speaker of the House, Jon Burns, has championed a different House version of this sports ban (HB&nbsp;267)&nbsp;that will likely pass out of the House before Crossover Day (March 6th).</p>",false,,sb1-hopper; sb1-read; sb1-committee; sb1-second-read; sb1-third-read; sb1-senate-passed,<p>2/6/2025 Minority Report Filed</p>,false,,false,false,false
